room_id,female_share,expected_share,diff_share,fem_percap,mal_percap,diff_percap,log_ratio_percap,fem_users,mal_users,fem_msgs,mal_msgs
2,0.21621621621621623,0.3333333333333333,-0.11711711711711709,24.0,43.5,-19.5,-0.5947071077280146,1,2,24,87
3,0.5061728395061729,0.3333333333333333,0.17283950617283955,41.0,20.0,21.0,0.717839793124707,1,2,41,40
4,0.2037037037037037,0.3333333333333333,-0.12962962962962962,11.0,21.5,-10.5,-0.6701576622908492,1,2,11,43
5,0.07692307692307693,0.3333333333333333,-0.2564102564102564,2.0,12.0,-10.0,-1.7917594688113883,1,2,2,24
6,0.3958333333333333,0.3333333333333333,0.0625,38.0,29.0,9.0,0.27029032973174466,1,2,38,58
7,0.2553191489361702,0.3333333333333333,-0.07801418439716312,12.0,17.5,-5.5,-0.37729423111527755,1,2,12,35
8,0.4875,0.3333333333333333,0.15416666666666667,39.0,20.5,18.5,0.6431367599621444,1,2,39,41
9,0.14666666666666667,0.3333333333333333,-0.18666666666666665,11.0,32.0,-21.0,-1.0678406299416967,1,2,11,64
10,0.15625,0.3333333333333333,-0.17708333333333331,10.0,27.0,-17.0,-0.9932517729473205,1,2,10,54
11,0.4230769230769231,0.3333333333333333,0.08974358974358976,22.0,15.0,7.0,0.3829922522348936,1,2,22,30
12,0.41784037558685444,0.3333333333333333,0.08450704225352113,89.0,62.0,27.0,0.3615019846821552,1,2,89,124
13,0.24347826086956523,0.3333333333333333,-0.08985507246376809,28.0,43.5,-15.5,-0.4405564279067087,1,2,28,87
14,0.3783783783783784,0.3333333333333333,0.045045045045045085,28.0,23.0,5.0,0.19671029423829034,1,2,28,46
16,0.23809523809523808,0.3333333333333333,-0.09523809523809523,10.0,16.0,-6.0,-0.4700036292082356,1,2,10,32
17,0.16,0.3333333333333333,-0.1733333333333333,16.0,42.0,-26.0,-0.9650808960048965,1,2,16,84
